,AKT,ATF-2,CREB,ERK1/2,GSK3B,HSP27,IkBa,JNK,p38
DMSO,93.78549249999999,292.2493,53.5907895,153.7670355,54.346361,125.895253,133.87111299999998,109.090488,671.9533015
API-2 (Akt),193.8330555,316.7245725,137.990806,74.482494,89.5049155,134.768089,203.73350949999997,95.2850105,627.6102639999999
BAY11-7085 (NF-kb),223.27340300000003,385.02904850000004,137.410578,141.25502699999998,93.85318,146.6121635,153.01634,97.657847,1055.572416
PP2 (Src),156.86662,308.3747945,158.6338455,106.30386050000001,114.319547,128.8557535,129.967561,107.64040700000002,1071.483278
SB203580 (p38 MAPK),170.56969999999998,259.48598949999996,94.806097,172.91068950000002,88.55525449999999,42.69809600000001,159.7071535,84.03348,437.5320725
SB216763 (GSK3B),214.6470755,273.583114,93.3893615,65.6073685,63.697069,154.712477,171.3477165,77.247852,799.771339
SP600125 (JNK),178.55541850000003,278.59662449999996,213.3963685,92.876112,75.142544,135.52298150000001,188.61782350000001,63.163854,1149.875904
U0126 (ERK1/2),238.8803975,344.263644,91.29194,21.805747,114.3165155,119.65878599999999,214.930828,80.515353,642.4878185
API-2+ BAY11-7085,147.76681100000002,399.423231,106.1288735,106.4462675,77.326988,133.4059325,146.05681049999998,107.49955800000001,775.3555644999999
API-2+ SB203580,146.33135000000001,330.64406349999996,68.5290375,113.68254049999999,75.857098,27.411399000000003,178.6083875,70.86073300000001,374.15361600000006
API-2+ SB216763,145.0839565,261.18114649999995,80.9893675,63.2888985,46.6266805,89.2624985,183.950804,72.10405349999999,448.78294650000004
API-2+ SP600125,103.65500599999999,406.4110515,168.36598250000003,42.540422500000005,68.496752,191.4095635,147.528584,106.3270915,1469.5421139999999
API-2+ PP2,165.8121415,434.49197599999997,128.30810250000002,54.934955499999994,78.038276,146.083795,162.9662955,107.76231600000001,980.718195
BAY11-7085+ SB203580,175.0210165,387.72830450000004,105.8814275,273.635863,111.284406,43.939924500000004,189.889974,91.80015549999999,854.4006035
BAY11-7085+ SB216763,197.4273475,419.014392,124.148533,165.17600399999998,82.38821949999999,146.91210949999999,181.6476065,92.77779749999999,1342.814719
BAY11-7085+ SP600125,165.2624705,375.10393450000004,197.23906999999997,155.4253685,81.411143,201.1895165,199.1444645,90.919232,1427.79567
BAY11-7085+ PP2,197.6077545,425.6546315,159.752509,179.21294,110.53353549999999,174.42534600000002,189.7948815,107.92680150000001,1737.5648924999996
PP2+ SB203580,166.8410675,457.0727380000001,137.288765,162.604465,111.95953399999999,51.0390425,117.89844099999999,99.1238135,1428.294751
PP2+ SB216763,226.99532149999996,432.09398350000004,89.4541795,83.0512435,91.8790645,134.01727449999998,176.76989600000002,93.0374295,1192.976157
PP2+ SP600125,153.74717149999998,225.92359750000003,69.10165749999999,43.922393,88.31634050000001,144.64261950000002,179.998307,198.4904105,2512.677378
SB203580+ SB216763,214.9196445,176.89570650000002,120.45381049999999,223.4521395,85.96207849999999,56.7812045,192.05440750000002,168.027067,535.536141
SB203580+ SP600125,143.824084,178.789203,129.521026,164.3383865,120.20206,26.814707000000002,165.35483349999998,164.5001755,1043.738173
SB216763+ SP600125,185.139988,223.653994,179.7907935,157.2375025,117.9374225,163.2670245,186.1833775,169.071066,1420.1237879999999